id,user,uid,version,changeset,timestamp
315101504,nmixter,55774,1,27125346,2014-11-30T06:18:43Z
315101514,nmixter,55774,1,27125346,2014-11-30T06:18:43Z
315101524,nmixter,55774,1,27125346,2014-11-30T06:18:44Z
315101534,nmixter,55774,1,27125346,2014-11-30T06:18:46Z
315101544,nmixter,55774,1,27125346,2014-11-30T06:18:46Z
315101554,nmixter,55774,1,27125346,2014-11-30T06:18:47Z
315101564,nmixter,55774,1,27125346,2014-11-30T06:18:47Z
315101574,nmixter,55774,1,27125346,2014-11-30T06:18:49Z
315101584,nmixter,55774,1,27125346,2014-11-30T06:18:50Z
315101594,nmixter,55774,1,27125346,2014-11-30T06:18:50Z
315101604,nmixter,55774,1,27125346,2014-11-30T06:18:51Z
315101614,nmixter,55774,1,27125346,2014-11-30T06:18:53Z
315101624,nmixter,55774,1,27125346,2014-11-30T06:18:53Z
315101634,nmixter,55774,1,27125346,2014-11-30T06:18:54Z
315101644,nmixter,55774,1,27125346,2014-11-30T06:18:54Z
315101654,nmixter,55774,1,27125346,2014-11-30T06:18:57Z
315101664,nmixter,55774,1,27125346,2014-11-30T06:18:57Z
315101674,nmixter,55774,1,27125346,2014-11-30T06:18:58Z
315101684,nmixter,55774,1,27125346,2014-11-30T06:18:58Z
315101694,nmixter,55774,1,27125346,2014-11-30T06:19:00Z
315101704,nmixter,55774,1,27125346,2014-11-30T06:19:01Z
315101714,nmixter,55774,1,27125346,2014-11-30T06:19:01Z
315101724,nmixter,55774,1,27125346,2014-11-30T06:19:02Z
315101734,nmixter,55774,1,27125346,2014-11-30T06:19:04Z
315101744,nmixter,55774,1,27125346,2014-11-30T06:19:05Z
315101754,nmixter,55774,1,27125346,2014-11-30T06:19:05Z
315101764,nmixter,55774,1,27125346,2014-11-30T06:19:06Z
315101774,nmixter,55774,1,27125346,2014-11-30T06:19:09Z
315101784,nmixter,55774,1,27125346,2014-11-30T06:19:09Z
315101794,nmixter,55774,1,27125346,2014-11-30T06:19:10Z
315101804,nmixter,55774,1,27125346,2014-11-30T06:19:10Z
315101815,nmixter,55774,1,27125346,2014-11-30T06:19:13Z
315101825,nmixter,55774,1,27125346,2014-11-30T06:19:13Z
315101835,nmixter,55774,1,27125346,2014-11-30T06:19:14Z
315101845,nmixter,55774,1,27125346,2014-11-30T06:19:14Z
315255687,Walk and walk around,574053,1,27146321,2014-12-01T05:19:42Z
315255697,Walk and walk around,574053,1,27146321,2014-12-01T05:19:43Z
315255707,Walk and walk around,574053,1,27146321,2014-12-01T05:19:43Z
315256154,esuranyi,3245195,2,34642180,2015-10-14T21:26:29Z
315407508,cityeditor1000,1974064,1,27170542,2014-12-02T02:25:17Z
315419893,cityeditor1000,1974064,1,27172638,2014-12-02T07:13:54Z
315419903,cityeditor1000,1974064,1,27172638,2014-12-02T07:13:54Z
315421449,cityeditor1000,1974064,1,27172859,2014-12-02T07:39:10Z
315554248,SomeoneElse_Revert,1778799,4,35598174,2015-11-26T19:12:37Z
315563928,Bike Mapper,74705,1,27192946,2014-12-03T04:38:47Z
315563938,Bike Mapper,74705,1,27192946,2014-12-03T04:38:47Z
315565696,nmixter,55774,3,30280975,2015-04-17T07:51:10Z
315566462,oba510,933797,1,27193284,2014-12-03T05:38:08Z
315566640,oba510,933797,1,27193284,2014-12-03T05:42:14Z
315567465,TorieRob,3821658,2,39227596,2016-05-10T20:22:35Z
315631924,cityeditor1000,1974064,1,27204016,2014-12-03T16:40:29Z
315631934,cityeditor1000,1974064,1,27204016,2014-12-03T16:40:30Z
315633030,cityeditor1000,1974064,1,27204191,2014-12-03T16:48:53Z
315707637,cityeditor1000,1974064,1,27218576,2014-12-04T06:25:18Z
315708700,cityeditor1000,1974064,1,27218895,2014-12-04T06:48:13Z
315710944,cityeditor1000,1974064,1,27219566,2014-12-04T07:30:15Z
315710954,cityeditor1000,1974064,1,27219566,2014-12-04T07:30:16Z
315712421,nmixter,55774,1,27220326,2014-12-04T07:59:03Z
315712644,nmixter,55774,1,27220326,2014-12-04T07:59:25Z
315845899,cityeditor1000,1974064,1,27255071,2014-12-05T06:20:23Z
315855770,GeoSurveyor,2503436,1,27256702,2014-12-05T08:26:28Z
316005944,cityeditor1000,1974064,1,27283709,2014-12-06T06:36:23Z
